Index,Employed,Bank Balance,Annual Salary,Defaulted?
1,1,8754.36,532339.56,0
2,0,9806.16,145273.56,0
3,1,12882.6,381205.68,0
4,1,6351,428453.88,0
5,1,9427.92,461562,0
6,0,11035.08,89898.72,0
7,1,9906.12,298862.76,0
8,0,9704.04,211205.4,0
9,1,13932.72,449622.36,0
10,1,0,351303.24,0
11,0,0,262452.84,0
12,0,14646.96,159222.72,0
13,1,2844.6,339020.4,0
14,1,7280.88,539934.72,0
15,1,13355.64,285722.04,0
16,1,3434.76,540508.92,0
17,1,0,603183.72,0
18,0,6330.48,211638.48,0
19,1,5831.28,738793.32,0
20,1,13140.84,317575.56,0
21,1,2747.4,606002.16,0
22,1,11451.12,389490.12,0
23,1,12671.52,615814.56,0
24,1,7703.76,365593.2,0
25,1,9278.52,412239.72,0
26,1,10260.12,302535.96,0
27,1,7716,497682.12,0
28,1,17458.32,386269.08,0
29,1,7388.4,472516.68,0
30,0,13434.84,198672.84,0
31,1,5937.84,652617.36,0
32,0,5386.56,189593.64,0
33,0,7018.8,269159.28,0
34,1,10963.08,562886.76,0
35,0,17087.28,271613.88,0
36,0,17996.64,158287.8,0
37,1,8304.36,573679.32,0
38,1,4217.4,421049.88,0
39,1,8911.56,454377.84,0
40,1,7837.44,473875.08,0
41,1,10465.68,501450.84,0
42,1,10047.12,617661.24,0
43,1,13819.56,515009.64,0
44,0,2646.72,202475.4,0
45,0,20282.76,228630.84,0
46,1,4905.24,650483.28,0
47,1,14863.32,600800.16,0
48,1,14739.72,448902,0
49,1,9851.04,572958.48,0
50,1,10289.88,380260.2,0
51,1,6763.44,511695,0
52,0,15395.64,157447.68,0
53,0,18069.36,318685.68,0
54,0,10848.48,202587.6,0
55,1,0,599478.96,0
56,0,15534,125571.84,0
57,0,15306.6,190649.64,0
58,1,18439.08,585202.92,0
59,1,15990.24,469717.68,0
60,1,5904.96,400549.08,0
61,1,9194.76,557739.48,0
62,1,8281.56,761195.76,0
63,1,0,389778.48,0
64,1,17767.92,442393.92,0
65,1,11868.72,544131,0
66,1,15628.08,404345.16,0
67,1,12534.6,656361.24,0
68,1,0,523898.76,0
69,1,10392.36,460361.04,0
70,1,8289.6,577685.64,0
71,1,7173.12,378931.44,0
72,1,5153.88,615734.64,0
73,1,16777.92,475739.28,0
74,0,18936.72,238637.88,0
75,1,10284.84,319868.28,0
76,0,9029.52,194535.36,0
77,0,9296.88,182324.76,0
78,1,8740.44,541580.64,0
79,1,923.88,340705.08,0
80,1,2357.52,496161.48,0
81,0,11385,171571.44,0
82,1,5183.04,472438.56,0
83,1,5539.68,554654.52,0
84,1,6864.24,396555.72,0
85,1,4026.84,615101.28,0
86,1,6122.88,724772.64,0
87,0,12061.92,288463.8,0
88,0,1949.4,158901,0
89,1,11190.36,606449.64,0
90,0,10719.96,142868.16,0
91,1,15993.36,533941.92,0
92,1,16852.56,420517.32,0
93,0,13787.64,198938.28,0
94,1,4418.64,691161.96,0
95,1,5393.64,551408.04,0
96,1,9840.24,619015.92,0
97,0,7437,189007.44,0
